,events.out.tfevents.1564725345.proj55
0,5.511031150817871
1,4.02754545211792
2,3.32222318649292
3,2.9567480087280273
4,2.736485481262207
5,2.5744752883911133
6,2.447222948074341
7,2.3636746406555176
8,2.297818422317505
9,2.246797800064087
10,2.2052676677703857
11,2.166577100753784
12,2.1401076316833496
13,2.1140835285186768
14,2.09283447265625
15,2.073108673095703
16,2.0557453632354736
17,2.0418648719787598
18,2.02774977684021
19,2.0155301094055176
20,2.0063271522521973
21,1.9940049648284912
22,1.983295202255249
23,1.9730770587921143
24,1.9674419164657593
25,1.9586920738220215
26,1.953487515449524
27,1.9463218450546265
28,1.9393173456192017
29,1.9370627403259277
30,1.5100890398025513
31,1.4146069288253784
32,1.374167799949646
33,1.3487370014190674
34,1.3272931575775146
35,1.3103816509246826
36,1.2999262809753418
37,1.2861567735671997
38,1.2794188261032104
39,1.2689789533615112
40,1.2631151676177979
41,1.2584527730941772
42,1.254189133644104
43,1.2486313581466675
44,1.2435414791107178
45,1.2415919303894043
46,1.2401103973388672
47,1.2365707159042358
48,1.236930012702942
49,1.2368453741073608
50,1.2343506813049316
51,1.2322722673416138
52,1.2319564819335938
53,1.2322776317596436
54,1.231531023979187
55,1.2284116744995117
56,1.2284270524978638
57,1.2262474298477173
58,1.2276685237884521
59,1.225670576095581
60,1.081803798675537
61,1.0423002243041992
62,1.0257318019866943
63,1.011610984802246
64,1.003942847251892
65,0.9962077736854553
66,0.991533100605011
67,0.9856449365615845
68,0.9805293083190918
69,0.9751614332199097
70,0.9694178104400635
71,0.9674648642539978
72,0.9632946848869324
73,0.9601534008979797
74,0.9571793675422668
75,0.9531426429748535
76,0.946917712688446
77,0.9459449648857117
78,0.9408761262893677
79,0.9383038878440857
80,0.9225693941116333
81,0.9156854748725891
82,0.915881872177124
83,0.9139068126678467
84,0.9125847816467285
85,0.912973165512085
86,0.9116075038909912
87,0.9109057188034058
88,0.908615231513977
